budget,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,vote_count,director,main_genre_top10,opinion
0,rebel usa president hostage airplane,en,In Her Line of Fire,"When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.",0.429587,2006-04-21,0,88.0,Released,9,Brian Trenchard-Smith,Drama,0
7000000,talent success musician woman director,en,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?",8.079046,2014-09-10,14618727,116.0,Released,139,Gina Prince-Bythewood,Romance,1
4000000,chicago journalist newspaper marriage proposal stress,en,The Front Page,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.,4.117968,1974-12-01,0,105.0,Released,68,Billy Wilder,Romance,1
1300000,vietnam veteran taxi obsession drug dealer night shift,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,1976-02-07,28262574,114.0,Released,2535,Martin Scorsese,Crime,1
117000000,spy airport gas station garage pilot,en,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",44.906918,2010-06-15,261930431,109.0,Released,1547,James Mangold,Action,0
100000000,christianity sex new year's eve pastor nudity,en,End of Days,"On December 28th, 1999, the citizens of New York City are getting ready for the turn of the millennium. However, the Devil decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride, a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist called Jericho Cane.",20.652943,1999-11-24,211989043,121.0,Released,482,Peter Hyams,Action,0
7500000,seattle shanghai future insurance salesman dystopia,en,Code 46,"A futuristic 'Brief Encounter', a love story in which the romance is doomed by genetic incompatibility.",8.859657,2003-09-02,0,92.0,Released,116,Michael Winterbottom,Drama,0
0,mexico cia fbi train,en,Double Take,"The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving M",1.903405,2001-01-12,0,88.0,Released,24,George Gallo,Adventure,0
16000000,helicopter beach loss of father giant wave tsunami,ko,해운대,"Man-sik and Yeon-hee, are unsure as to whether they can overcome past wounds and continue being a couple. Dr. Kim, who cautions against a possible mega-tsunami at Haeundae, collapses in agony springing from an unexpected turn-up of his daughter and divorced wife. Hyoung-sik, after rescuing a woman from Seoul, rides out a ferocious storm to gladden her heart. A tsunami which destroys Haeundae symbolizes the establishment of a typical axis called provocation of conflicts, and later the inner spaces of the couples without anything left behind after all conflicts have ended",4.628525,2009-06-06,11301649,120.0,Released,48,Yoon Je-kyoon,Action,1
22000000,sex detective jealousy humor protest,en,I Heart Huckabees,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.",14.925633,2004-09-10,0,106.0,Released,239,David O. Russell,Comedy,0
2500000,individual gay father son relationship rome robbery,en,My Own Private Idaho,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott Favor (Keanu Reeves) is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",10.363642,1991-10-17,0,104.0,Released,212,Gus Van Sant,Drama,1
75000000,prison,en,Bandits,Two bank robbers fall in love with the girl they've kidnapped.,24.353302,2001-10-12,67631903,123.0,Released,302,Barry Levinson,Action,0
0,,en,Crazy in Alabama,An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.,5.770246,1999-10-22,0,111.0,Released,12,Antonio Banderas,Comedy,1
7500000,date sex jealousy fight architect,en,(500) Days of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",45.610993,2009-07-17,60722734,95.0,Released,2904,Marc Webb,Comedy,1
40000000,based on novel autism key scavenger hunt death of father,en,Extremely Loud & Incredibly Close,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",31.066874,2011-12-24,55247881,129.0,Released,708,Stephen Daldry,Drama,1
15000000,film producer film history movie studio hollywood dog,en,The Artist,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",29.943316,2011-05-15,133432856,100.0,Released,1049,Michel Hazanavicius,Drama,1
108,halloween slapstick duringcreditsstinger,en,Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",7.410522999999999,2009-10-27,0,90.0,Released,97,Bo Zenga,Comedy,0
60000000,chicago based on novel monster museum pile of dead bodies,en,The Relic,"A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself.",12.621769,1997-01-10,33956608,110.0,Released,130,Peter Hyams,Horror,0
15000000,photographer butcher vegetarian midnight blood splatter,en,The Midnight Meat Train,"The photographer Leon lives with his girlfriend and waitress Maya waiting for a chance to get in the photo business. When Maya contacts their friend Jurgis, he schedules a meeting for Leon with the successful owner of arts gallery Susan Hoff; she analyzes Leon's work and asks him to improve the quality of his photos. During the night, the upset Leon decides to wander on the streets taking pictures with his camera, and he follows three punks down to the subway station; when the gang attacks a young woman, Leon defends her and the guys move on. On the next morning, Leon discovers that the woman is missing. He goes to the police station, but Detective Lynn Hadley does not give much attention to him and discredits his statement. Leon becomes obsessed to find what happened with the stranger and he watches the subway station. When he sees the elegant butcher Mahogany in the train, Leon believes he might be a murderer and stalks him everywhere, in the beginning of his journey to the darkness.",19.913961,2008-08-07,3533227,98.0,Released,290,Ry\u00fbhei Kitamura,others,0
57000000,monk eastern europe skeleton biker marvel comic,en,Ghost Rider: Spirit of Vengeance,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",48.622278,2011-12-10,149217355,95.0,Released,1135,Brian Taylor,Action,0
0,england brother sister relationship becoming an adult northern england female friendship,en,My Summer of Love,"In the Yorkshire countryside, working-class tomboy Mona meets the exotic, pampered Tasmin. Over the summer season, the two young women discover they have much to teach one another, and much to explore together.",3.939753,2004-08-20,0,86.0,Released,59,Pawe\u0142 Pawlikowski,Drama,0
15000000,corruption police brutality riot ghetto street war,en,Dark Blue,"Set during the Rodney King riots, a robbery homicide investigation triggers a series of events that will cause a corrupt LAPD officer to question his tactics.",6.373316,2002-12-14,9237470,118.0,Released,85,Ron Shelton,Action,1
30000000,japan coma martial arts kung fu underworld,en,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",79.75496600000002,2003-10-10,180949000,111.0,Released,4949,Quentin Tarantino,Action,1
0,gold oregon thirst tree settler,en,Meek's Cutoff,"Set in 1845, this drama follows a group of settlers as they embark on a punishing journey along the Oregon Trail. When their guide leads them astray, the expedition is forced to contend with the unforgiving conditions of the high plain desert.",4.749885,2010-09-05,876302,104.0,Released,77,Kelly Reichardt,Drama,1
32000000,post traumatic stress  disorder sexual obsession postwar period drifter alcoholic,en,The Master,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.",25.682509,2012-09-07,28258060,137.0,Released,701,Paul Thomas Anderson,Drama,1
5000000,showdown bounty bounty hunter loss of brother sadness,it,C'era una volta il West,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,1968-12-21,5321508,175.0,Released,1128,Sergio Leone,others,1
180000000,england compass experiment lordship uncle,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,2007-12-04,372234864,113.0,Released,1303,Chris Weitz,Adventure,0
70000000,world war ii nazis art theft post world war ii,en,The Monuments Men,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",43.873266,2014-01-24,154984035,118.0,Released,1523,George Clooney,others,0
5000000,egypt,en,The Egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",4.079111,1954-08-25,15000000,139.0,Released,11,Michael Curtiz,others,0
0,duringcreditsstinger,en,Free Style,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream.",0.122874,2008-12-24,140987,94.0,Released,4,William Dear,Drama,0
210000000,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,2006-05-24,459359555,104.0,Released,3525,Brett Ratner,Adventure,1
1000000,underdog philadelphia transporter italo-american fight,en,Rocky,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",72.19808,1976-11-21,117235147,119.0,Released,1791,John G. Avildsen,Drama,1
23000000,darkness dystopia comet alien life-form survival,en,Pitch Black,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",18.493202,2000-02-18,53187659,108.0,Released,1789,David Twohy,Thriller,1
200000000,malibu marvel comic superhero based on comic book revenge,en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",77.30019399999998,2010-04-28,623933331,124.0,Released,6849,Jon Favreau,Adventure,1
800000,independent film,en,Ruby in Paradise,"Reeling from her mother's recent death, Ruby Lee Gissing relocates to Florida to start anew. After finding a job at a souvenir store, Ruby becomes friends with the shop's owner, Mildred Chambers, and slowly acclimates to her new surroundings. Before long, she's juggling the affections of Mildred's Lothario son, Ricky, and the good-natured Mike. As she wavers between Ricky and Mike, Ruby also tries to come to terms with her past.",0.59424,1993-10-08,1001437,114.0,Released,10,Victor Nunez,Drama,0
110000000,moon magic based on comic book animation good vs evil,en,The Smurfs,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",36.65422,2011-07-29,563749323,103.0,Released,1179,Raja Gosnell,Animation,0
10000000,pickpocket musical victorian england orphan,en,Oliver!,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",8.305997999999999,1968-09-26,37402877,153.0,Released,103,Carol Reed,Drama,1
1300000,suicide father son relationship child abuse sexual abuse depression,da,Festen,"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on.",10.240917,1998-05-20,0,105.0,Released,207,Thomas Vinterberg,Drama,1
90000000,new york witch uprising witch hunter,en,The Last Witch Hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",52.612025,2015-10-21,146936910,106.0,Released,1316,Breck Eisner,Fantasy,0
0,aunt remake blood on shirt slasher death of family,en,Prom Night,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",9.642041,2008-04-10,14796236,88.0,Released,167,Nelson McCormick,Crime,0
0,prostitute fire newspaper independent film woman director,en,The Dead Girl,The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect.,3.069605,2006-11-07,0,85.0,Released,66,Karen Moncrieff,others,1
22000000,female nudity harassment male friendship dark comedy director cameo,en,Saving Silverman,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band.",12.887673,2001-02-09,19351569,90.0,Released,154,Dennis Dugan,Comedy,0
1000000,civil war,en,Love Me Tender,Elvis Prestley's first film is a Civil War drama.,1.444258,1956-11-15,9000000,89.0,Released,21,Robert D. Webb,Drama,0
85000000,father son relationship brother sister relationship mephisto bulldogg,en,Little Nicky,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",18.335992,2000-11-10,0,90.0,Released,438,Steven Brill,Comedy,0
1,,en,Incident at Loch Ness,"The German film director Werner Herzog sets out to the Scottish Highlands to make a documentary, ""Enigma of Loch Ness"", exploding the myth of the Loch Ness Monster. Meanwhile, another documentary film crew is making a film about Werner Herzog, and we see the production of ""Enigma"" from their point of view. Shooting on a rented boat, tensions begin to rise as director Herzog and his producer, Zak Penn, find themselves at cross-purposes on the black surface of Loch Ness. Things get very edgy when the film crew starts seeing shapes in the murky water.",1.452152,2004-12-17,0,94.0,Released,18,Zak Penn,Adventure,0
65000000,new love love of one's life unexpected happiness dying and death success,en,Autumn in New York,"Autumn in New York follows the sexual exploits of Will Keane - New York restaurateur, infamous verging-on-50 playboy, master of the no-commitment seduction - until he runs into an unexpected dead end when he meets Charlotte Fielding. Charlotte is half Will's age and twice his match, a 21 year-old free spirit yearning to get out and taste the excitement of adult life.",8.680334,2000-08-11,0,103.0,Released,135,Joan Chen,Drama,0
45000000,police brutality war on drugs drug traffic drug dealer los angeles,en,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",52.081131,2001-10-05,104876233,122.0,Released,1634,Antoine Fuqua,Action,1
28000000,witch halloween salem trick or treating spellcasting,en,Hocus Pocus,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",18.650748,1993-07-16,39514713,96.0,Released,471,Kenny Ortega,Comedy,1
1000000,skateboarding forgiveness sport family relationships aftercreditsstinger,en,Hardflip,"Hardflip follows the story of Caleb (Randy Wayne) a young skater whose ill mother (Rosanna Arquette) and absent father (John Schneider) leave him reaching for the only hope he has...becoming a sponsored skater. After his mother falls ill, Caleb finds a stack of old love letters. He sets out to find the father he never knew and inadvertently begins a journey he never could have expected. This story explores what happens when we let go of our anger and pain and forgive those who have hurt us most.",0.341461,2012-06-01,0,114.0,Released,5,Johnny Remo,Drama,0
38000000,hippie poetry sex rock and roll nudity,en,The Doors,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison.",10.794175,1991-03-01,34416893,140.0,Released,275,Oliver Stone,Drama,1
0,music,en,Scott Walker: 30 Century Man,A documentary on the influential musician Scott Walker.,0.6077819999999999,2006-10-31,0,95.0,Released,8,Stephen Kijak,others,1
15000000,,en,Why Did I Get Married?,"The film is about the difficulty of maintaining a solid relationship in modern times. Eight married college friends plus one other non-friend (all of whom have achieved middle to upper class economic status) go to Colorado for their annual week-long reunion, but the mood shifts when one couple's infidelity comes to light. Secrets are revealed and each couple begins to question their own marriage",2.005111,2007-10-12,55184721,113.0,Released,33,Tyler Perry,Comedy,0
2000000,black people based on novel brother sister relationship becoming an adult isolation,en,To Kill a Mockingbird,"In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot.",22.139842,1962-12-25,13129846,129.0,Released,657,Robert Mulligan,Crime,1
3000000,bridesmaid strip club female friendship reunion drug use,en,Bachelorette,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,20.95282000000001,2012-08-06,11947954,87.0,Released,444,Leslye Headland,Comedy,0
145000000,father son relationship egypt intelligence adoption time travel,en,Mr. Peabody & Sherman,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",38.73494,2014-02-07,272912430,92.0,Released,843,Rob Minkoff,Animation,1
25000000,flower solar eclipse florist assistant plants,en,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",12.113235,1986-12-19,38748395,94.0,Released,384,Frank Oz,Horror,1
57000000,kidnapping pistol,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",21.021809,2001-03-01,147845033,123.0,Released,441,Gore Verbinski,Action,0
2500000,alcatraz revenge organized crime,en,Point Blank,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.",5.164423,1967-08-30,3200000,92.0,Released,95,John Boorman,Action,1
0,police revenge independent film video camera on the run,en,Jimmy and Judy,Two misunderstood suburban kids challenge society and run from the police while documenting all of their deeds with a digital camera.,1.255771,2006-01-01,0,99.0,Released,8,Randall Rubin,Action,0
16500000,england judge irland new love empowerment,en,Becoming Jane,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,18.236284,2007-03-02,37311672,120.0,Released,317,Julian Jarrold,Drama,1
22000000,manager pop secret small town garage,en,Josie and the Pussycats,"Josie, Melody and Val are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune.",6.404571,2001-04-06,0,98.0,Released,72,Deborah Kaplan,Comedy,0
0,new york telephone joke gangster,en,The Jerky Boys,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor.",1.7354619999999998,1995-02-03,0,82.0,Released,10,James Melkonian,Comedy,0
32000000,martial arts war on drugs kidnapping bodyguard baby-snatching,en,Transporter 2,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",47.5612,2005-08-02,85167639,87.0,Released,1061,Louis Leterrier,Action,0
0,sex bisexual science,de,Drei,"Hanna and Simon are in a 20 year marriage with an unexiting relationship. By chance, they both meet and start separate affairs with Adam. Adam has no idea that his two lovers are married, until they are all found out when Hanna becomes pregnant, with the natural doubts stemming from their situation.",5.937602,2010-12-23,2611555,119.0,Released,31,Tom Tykwer,Romance,1
18500000,,en,The Invention of Lying,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",16.665841,2009-09-13,31912793,100.0,Released,518,Ricky Gervais,Comedy,0
0,,en,Hum To Mohabbat Karega,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.",0.001186,2000-05-26,0,0.0,Released,0,,others,0
0,prison prisoner jail guard prison cell bagdad,en,Standard Operating Procedure,Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison.,0.888986,2008-02-12,0,117.0,Released,14,Errol Morris,others,1
14100000,mathematician mathematics oxford symbol triangle,en,The Oxford Murders,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols",9.318033,2008-01-18,0,107.0,Released,188,\u00c1lex de la Iglesia,Crime,0
16000000,mass murder planned murder chain saw sadism knife,en,The Texas Chainsaw Massacre: The Beginning,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",21.380635,2006-10-06,0,91.0,Released,402,Jonathan Liebesman,Horror,0
36000000,dolphin aquarium swimming,en,Dolphin Tale 2,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.,6.967857,2014-09-12,52424533,107.0,Released,96,Charles Martin Smith,others,1
0,waitress beach independent film soccer girl,en,Bella,"An international soccer star is on his way to sign a multimillion dollar contract when something happens that brings his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down.",1.814802,2006-09-09,0,91.0,Released,37,Alejandro Monteverde,Drama,1
